Element,Vdw radius,Covalent radius,Valence,Electronegativity,Space group #,Space group short,Strukturbericht,Atomic packing factor,Work function,Number of non-core electrons,Number s electrons,Number p electrons,Number d electrons,Number f electrons,1s pp radii,2s pp radii,2p pp radii,3s pp radii,3p pp radii,3d pp radii,4s pp radii,4p pp radii,4d pp radii,5s pp radii,5p pp radii,5d pp radii,5f pp radii,6s pp radii,6p pp radii,6d pp radii,7s pp radii,4f pp radii,Pettifor scale,Modified Pettifor,Atomic mass,DFT fcc lattice param,DFT hcp lattice param,DFT fcc cohesive energy,DFT hcp cohesive energy
Ru,2.46,1.46,1,2.20,194,P63/mmc,A3,0.74,4.71,8,1,0,7,0,0,0,0,0,0,0,0,0.515,0.619,1.41,0,0,0,0,0,0,0,0,63.00,61.00,101.07,3.77,2.69,-10.21,-10.32
Rh,2.44,1.42,1,2.28,225,Fm3m,A1,0.74,4.98,9,1,0,8,0,0,0,0,0,0,0,0,0.496,0.5865,1.364,0,0,0,0,0,0,0,0,66.00,63.00,102.91,nan,nan,nan,nan
Pd,2.15,1.39,4,2.20,225,Fm3m,A1,0.74,5.22,10,0,0,10,0,0,0,0,0,0,0,0,0.479,0.564,0,0,0,0,0,0,0,0,0,69.00,65.00,106.42,nan,nan,nan,nan
Ag,2.53,1.45,1,1.93,225,Fm3m,A1,0.74,4.38,11,1,0,10,0,0,0,0,0,0,0,0,0.462,0.533,1.286,0,0,0,0,0,0,0,0,71.00,67.00,107.87,nan,nan,nan,nan
Cd,2.49,1.44,2,1.69,194,P63/mmc,A3,0.74,4.08,12,2,0,10,0,0,0,0,0,0,0,0,0.445,0.505,1.184,0,0,0,0,0,0,0,0,75.00,75.00,112.41,nan,nan,nan,nan
In,2.43,1.42,3,1.78,139,I4/mmm,A6,nan,4.09,13,2,1,10,0,0,0,0,0,0,0,0,0.43,0.4805,1.093,1.382,0,0,0,0,0,0,0,79.00,80.00,114.82,nan,nan,nan,nan
Sn,2.42,1.39,4,1.96,141,I41/amd,A5,nan,4.42,14,2,2,10,0,0,0,0,0,0,0,0,0.416,0.458,1.027,1.24,0,0,0,0,0,0,0,83.00,83.00,118.71,nan,nan,nan,nan
Sb,2.47,1.39,5,2.05,166,R3m,A7,nan,4.55,15,2,3,10,0,0,0,0,0,0,0,0,0.402,0.438,0.969,1.1665,0,0,0,0,0,0,0,88.00,91.00,121.76,nan,nan,nan,nan
Te,1.99,1.38,6,2.10,152,P3121,A8,nan,4.95,16,2,4,10,0,0,0,0,0,0,0,0,0.39,0.42,0.92,1.087,0,0,0,0,0,0,0,92.00,94.00,127.60,nan,nan,nan,nan
I,2.04,1.39,7,2.66,64,Cmca,nan,nan,nan,17,2,5,10,0,0,0,0,0,0,0,0,0.378,0.4035,0.876,1.0215,0,0,0,0,0,0,0,97.00,99.00,126.90,nan,nan,nan,nan
Xe,2.06,1.40,0,2.60,225,Fm3m,A1,0.74,nan,18,2,6,10,0,0,0,0,0,0,0,0,0.367,0.388,0.837,0.965,0,0,0,0,0,0,0,5.00,5.00,131.29,nan,nan,nan,nan
Cs,3.48,2.44,1,0.79,229,Im3m,A2,0.68,1.95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0,2.518,0,0,0,0,8.00,8.00,132.91,nan,nan,nan,nan
Ba,3.03,2.15,2,0.89,229,Im3m,A2,0.68,2.52,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869,0,0,2.06,0,0,0,0,14.00,14.00,137.33,nan,nan,nan,nan
La,2.98,2.07,2,1.10,194,P63/mmc,A3´,0.74,3.50,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.827,0,0,1.915,0,0,0,0,33.00,32.00,138.91,nan,nan,nan,nan
Ce,2.88,2.04,2,1.12,194,P63/mmc,A3´,0.74,2.90,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.825,0,0,1.978,0,0,0,0.366,32.00,31.00,140.12,nan,nan,nan,nan
Pr,2.92,2.03,2,1.13,194,P63/mmc,A3´,0.74,nan,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.806,0,0,1.942,0,0,0,0.351,31.00,30.00,140.91,nan,nan,nan,nan
Nd,2.95,2.01,2,1.14,194,P63/mmc,A3´,0.74,3.20,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.788,0,0,1.912,0,0,0,0.337,30.00,29.00,144.24,nan,nan,nan,nan
Pm,nan,1.99,2,1.13,194,P63/mmc,A3´,0.74,nan,7,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.772,0,0,1.882,0,0,0,0.325,29.00,28.00,nan,nan,nan,nan,nan
Sm,2.90,1.98,2,1.17,166,R3m,nan,nan,2.70,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0.757,0,0,1.854,0,0,0,0.314,28.00,27.00,150.36,nan,nan,nan,nan
Eu,2.87,1.98,2,1.20,229,Im3m,A2,0.68,2.50,9,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0.742,0,0,1.826,0,0,0,0.3055,18.00,17.00,151.96,nan,nan,nan,nan
Gd,2.83,1.96,2,1.20,194,P63/mmc,A3,0.74,2.90,10,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0.715,0,0,1.713,0,0,0,0.2925,27.00,26.00,157.25,nan,nan,nan,nan
Tb,2.79,1.94,2,1.10,194,P63/mmc,A3,0.74,3.00,11,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0.715,0,0,1.775,0,0,0,0.2875,26.00,25.00,158.93,nan,nan,nan,nan
Dy,2.87,1.92,2,1.22,194,P63/mmc,A3,0.74,nan,12,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0.702,0,0,1.75,0,0,0,0.279,25.00,24.00,162.50,nan,nan,nan,nan
Ho,2.81,1.92,2,1.23,194,P63/mmc,A3,0.74,nan,13,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0.69,0,0,1.727,0,0,0,0.2715,24.00,23.00,164.93,nan,nan,nan,nan
Er,2.83,1.89,2,1.24,194,P63/mmc,A3,0.74,nan,14,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0.678,0,0,1.703,0,0,0,0.264,23.00,22.00,167.26,nan,nan,nan,nan
Tm,2.79,1.90,2,1.25,194,P63/mmc,A3,0.74,nan,15,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0.667,0,0,1.681,0,0,0,0.2575,22.00,20.00,168.93,nan,nan,nan,nan
Yb,2.80,1.87,2,1.10,225,Fm3m,A1,0.74,nan,16,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0.657,0,0,1.658,0,0,0,0.2515,17.00,18.00,173.05,nan,nan,nan,nan
